,date,team_x,actual_x,prediction_x,opponent_x,result_x,teamType_x,teamOdds_x,opponentOdds_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamType_y,teamOdds_y,opponentOdds_y,correct_prediction,different_prediction,lower_odds_winner,bet,return
25,2015-11-01,Sale,1,0,Northampton,W,home,2.37,1.62,0,1,Northampton,Sale,L,away,1.62,2.37,False,True,False,10,0.0
26,2015-11-01,Newcastle,0,0,Exeter,L,home,3.0,1.4,1,1,Exeter,Newcastle,W,away,1.4,3.0,True,True,True,10,14.0
27,2015-11-06,Harlequins,1,1,Sale,W,home,1.25,4.01,0,0,Sale,Harlequins,L,away,4.01,1.25,True,True,True,10,12.5
28,2015-11-07,Exeter,1,1,Leicester,W,home,1.4,2.97,0,0,Leicester,Exeter,L,away,2.97,1.4,True,True,True,10,14.0
29,2015-11-07,Northampton,0,1,Saracens,L,home,1.7,2.19,1,0,Saracens,Northampton,W,away,2.19,1.7,False,True,False,10,0.0
30,2015-11-07,London Irish,0,0,Bath,L,home,2.91,1.41,1,1,Bath,London Irish,W,away,1.41,2.91,True,True,True,10,14.1
31,2015-11-08,Wasps,1,1,Gloucester,W,home,1.3,3.53,0,0,Gloucester,Wasps,L,away,3.53,1.3,True,True,True,10,13.0
32,2015-11-27,Northampton,1,1,Gloucester,W,home,1.25,4.04,0,0,Gloucester,Northampton,L,away,4.04,1.25,True,True,True,10,12.5
33,2015-11-28,London Irish,0,0,Wasps,L,home,4.52,1.21,1,1,Wasps,London Irish,W,away,1.21,4.52,True,True,True,10,12.1
34,2015-11-28,Exeter,1,1,Harlequins,W,home,1.39,3.05,0,0,Harlequins,Exeter,L,away,3.05,1.39,True,True,True,10,13.899999999999999
35,2015-11-28,Sale,0,1,Newcastle,D,home,1.18,5.01,0,0,Newcastle,Sale,D,away,5.01,1.18,False,True,False,10,0.0
36,2015-11-29,Leicester,1,1,Bath,W,home,1.43,2.91,0,0,Bath,Leicester,L,away,2.91,1.43,True,True,True,10,14.299999999999999
37,2015-12-05,Harlequins,1,1,London Irish,W,home,1.11,6.59,0,0,London Irish,Harlequins,L,away,6.59,1.11,True,True,True,10,11.100000000000001
38,2015-12-05,Worcester,0,0,Leicester,L,home,3.06,1.39,1,1,Leicester,Worcester,W,away,1.39,3.06,True,True,True,10,13.899999999999999
39,2015-12-05,Bath,0,1,Northampton,L,home,1.36,3.24,1,0,Northampton,Bath,W,away,3.24,1.36,False,True,False,10,0.0
40,2015-12-05,Wasps,0,1,Exeter,L,home,1.52,2.63,1,0,Exeter,Wasps,W,away,2.63,1.52,False,True,False,10,0.0
41,2015-12-06,Newcastle,0,0,Saracens,L,home,4.83,1.19,1,1,Saracens,Newcastle,W,away,1.19,4.83,True,True,True,10,11.899999999999999
42,2015-12-26,London Irish,1,0,Northampton,W,home,4.49,1.21,0,1,Northampton,London Irish,L,away,1.21,4.49,False,True,False,10,0.0
43,2015-12-26,Exeter,1,1,Sale,W,home,1.16,5.37,0,0,Sale,Exeter,L,away,5.37,1.16,True,True,True,10,11.6
44,2015-12-26,Leicester,1,1,Newcastle,W,home,1.09,7.6,0,0,Newcastle,Leicester,L,away,7.6,1.09,True,True,True,10,10.9
45,2015-12-27,Bath,1,1,Worcester,W,home,1.13,5.89,0,0,Worcester,Bath,L,away,5.89,1.13,True,True,True,10,11.299999999999999
46,2015-12-27,Harlequins,0,1,Gloucester,D,home,1.31,3.61,0,0,Gloucester,Harlequins,D,away,3.61,1.31,False,True,False,10,0.0
47,2016-01-01,Northampton,1,0,Exeter,W,home,1.5,2.64,0,1,Exeter,Northampton,L,away,2.64,1.5,False,True,True,10,0.0
48,2016-01-02,Gloucester,1,1,London Irish,W,home,1.24,4.12,0,0,London Irish,Gloucester,L,away,4.12,1.24,True,True,True,10,12.4
49,2016-01-02,Sale,1,1,Wasps,W,home,1.9,1.94,0,0,Wasps,Sale,L,away,1.94,1.9,True,True,True,10,19.0
